"","curveid","schoolfield.T_opt","weibull.T_opt","new_T_opt0","new_T_opt1","new_T_opt2","new_T_opt3","new_T_opt4","new_T_opt5","new_T_opt6","curve_breadth_gam0","curve_breadth_gam1","curve_breadth_gam2","curve_breadth_gam3","curve_breadth_gam4","curve_breadth_gam5","curve_breadth_gam6","curve_breadth_schoolfield","curve_breadth_schoolfield.mjc","AIC0","AIC1","AIC2","AIC3","AIC4","AIC5","AIC6","rsq0","rsq1","rsq2","rsq3","rsq4","rsq5","rsq6","concurvity_full0.para","concurvity_full0.s.tleaf.","concurvity_full1.para","concurvity_full1.s.cond.","concurvity_full2.para","concurvity_full2.s.cond.","concurvity_full2.s.vpdl.","concurvity_full3.para","concurvity_full3.s.tleaf.","concurvity_full4.para","concurvity_full4.s.tleaf.","concurvity_full5.para","concurvity_full5.s.tleaf.","concurvity_full5.s.vpdl.","concurvity_full6.para","concurvity_full6.s.tleaf.","concurvity_full6.s.cond.","T_opt.s","J_ref","E","E_D","school_breadth","Schoolfield.mjc.T_opt"
"1",1,22.4286608422179,22.5707660857606,21.6770692307692,22.5045230769231,21.9889538461538,21.6770692307692,21.5737153846154,21.8872538461538,21.3710846153846,17.2353615384615,17.2353615384615,17.1884384615384,17.2353615384615,17.3152923076923,17.1884384615384,17.3152923076923,16.5354692307692,16.535423076923,-1383.35445647298,-1007.09291001559,-1503.49813156828,-1375.14316418498,-1289.22836190599,-1478.2791959557,-1399.83895326046,0.999684144902645,0.998887288205146,0.99979489880719,0.999675358386029,0.999565768254252,0.999774885303751,0.99970883769092,0.999999996688222,0.999999690521356,0.999119121235872,0.91761117079082,0.999997433982454,0.999432124177376,0.999747673907603,0.999999996700266,0.999999701494622,2.30031839962447e-25,2.27977915821637e-25,7.90784477244984e-22,0.999999725001243,0.999999725001243,8.78800968539967e-25,0.999511440646443,0.999511440646444,22.4286608422179,39.9416919954106,0.598639179609319,1.07210372883323,14.3029153846154,22.4197575941091
"2",2,23.0352450267626,23.3452849782458,26.3630461538461,26.3630461538461,26.3630461538461,26.3630461538461,26.3630461538461,26.3630461538461,26.3630461538461,4.3719538461539,4.3719538461539,4.3719538461539,4.3719538461539,4.3719538461539,4.3719538461539,4.3719538461539,4.3719538461539,4.3719538461539,-408.392332399692,-412.589032323928,-422.121332822747,-408.397463066416,-408.5469200224,-414.44282461916,-420.347219748615,0.999020345828478,0.999073070430233,0.999195889501991,0.999020390841728,0.99902079535895,0.999110565180259,0.999172230858177,0.999999999893514,0.999999873634342,0.999998730928906,0.998494008398378,0.999999989022939,0.999783763748028,0.999990124666359,0.999999999886043,0.999999850052062,1.1265479991527e-25,1.12091938527694e-25,1.10895188664612e-22,0.999986189403698,0.999986189403696,4.04383227340344e-24,0.99947587940692,0.999475879406922,23.0352450267626,73.1807910856212,0.619849952690396,1.07331995401939,12.6635538461539,23.0262976544752
"3",3,21.7378489194835,21.785415416075,20.6408666666667,21.7339083333333,20.8431166666667,20.6408666666667,20.6408666666667,21.129875,21.129875,15.5860237179487,14.8702608974359,15.2667782051282,15.5860237179487,15.5860237179487,15.2667782051282,15.2667782051282,14.8702608974359,14.9464692307692,-588.139533829152,-766.830778262662,-1341.87648629947,-588.009266898732,-587.741384121712,-711.891019915017,-1320.48369177152,0.996381592301833,0.998023684709116,0.999724803990989,0.996380000070046,0.996375777738501,0.997668934122167,0.999702894873598,0.999999999666468,0.999999976140247,0.998253440034342,0.87483818912334,0.999992033015792,0.999183138122559,0.999620095933968,0.999999999706847,0.999999978987656,3.42905640136391e-25,3.41264090330347e-25,1.03239904722663e-22,0.999998833272615,0.999998833272616,5.83238575043169e-24,0.998288204014531,0.998288204014532,21.7378489194835,34.0664008359045,0.552138743447266,1.17712542029575,14.3652820512821,21.7306128023714
"4",4,23.0400914084565,23.5599348966492,23.2762,22.7446,24.4805,23.2762,23.3536,22.5325,23.42495,18.35255,18.47655,18.35255,18.35255,18.35255,18.35255,18.41795,18.41795,17.916,-799.042663393262,-839.385243534176,-947.808202843722,-798.569587063387,-800.817898042482,-999.8643608245,-925.318462588304,0.997079504448689,0.997366746031595,0.998043859787816,0.997076101938649,0.997091113503435,0.998270371386275,0.997925266588981,0.999999998770057,0.99999992921351,0.992253776117497,0.550703804021757,0.999995301201405,0.983240941685207,0.999734326442288,0.999999998635526,0.999999933525285,2.66251731374435e-25,2.67664902068006e-25,4.30165387934564e-22,0.999998660787471,0.999998660787468,5.97500328952272e-25,0.983596770860041,0.983596770860042,23.0400914084565,75.7502368762024,0.888118001215288,1.15349943279889,14.45915,23.0292654615031
"5",5,23.1094018487443,23.1842815449715,21.77605,22.3284,22.0376,21.77605,21.77605,21.77605,21.9448,16.5604,16.3386,16.55025,16.5604,16.5604,16.47695,16.47695,15.9696,15.88555,-690.770366149774,-489.888016707102,-722.088978685566,-690.66269296973,-692.341797395087,-764.698235252674,-743.080402750148,0.998834711213446,0.997724358183833,0.998972164636516,0.998834289750922,0.998840693533243,0.999108343589159,0.999042707788158,0.999999997437887,0.999999780213055,0.999627575744177,0.968040248406565,0.999997266255936,0.99902556236118,0.999759962750045,0.999999997192704,0.999999760202231,7.5959147453991e-26,7.58191657151788e-26,2.63412693373677e-23,0.999989163593738,0.999989163593741,1.37095277466789e-23,0.998818604397236,0.998818604397239,23.1094018487443,43.8005949803787,0.45907530681327,1.12544644391748,14.5422,23.1011384574241
"6",6,23.3600007627966,23.4655617170427,23.5655,23.67015,23.4852,23.4852,23.5655,23.39,23.4852,13.7958,13.5572,13.93595,13.7958,13.7958,13.88465,13.93595,13.33825,13.37635,-718.275033931281,-662.076466142367,-984.845030578076,-718.646316743477,-706.608359664092,-945.991588232599,-981.653227987983,0.998282896320133,0.997926893262456,0.999314312574688,0.998285127202437,0.998212739791976,0.999213076647779,0.999307761466258,0.999999982046398,0.999998843947048,0.993793600658414,0.597867064386127,0.999999224536538,0.999627322742661,0.99994965017944,0.999999980813251,0.99999879953421,2.07596337330051e-25,2.079129099107e-25,1.27987163726116e-22,0.999998299726481,0.999998299726482,2.57810851840595e-24,0.999459444045514,0.999459444045513,23.3600007627966,26.0726356249934,0.474162218156166,1.4050206712389,11.2805,23.3543378286947
"7",7,23.3999576039168,23.5567720195175,22.9714,23.12305,22.88485,22.9714,22.9714,22.72025,22.6578,16.07695,16.1301,16.0716,16.07695,16.07695,16.07695,16.1301,15.608,15.64435,-908.5796861487,-841.361680706986,-998.055909696974,-908.616564780077,-908.734610919657,-998.532710764414,-1011.69509043601,0.997497771654177,0.997038102633365,0.998038118194777,0.997498005278001,0.997498986103831,0.998038021624869,0.998095685432475,0.999999999722885,0.999999981752635,0.992559182953913,0.506366657305914,0.999992783237303,0.999721220476706,0.999720043584062,0.999999999557132,0.999999971437475,8.70381910993525e-26,8.84847584706726e-26,3.12877653706455e-23,0.999999029220182,0.99999902922018,1.0104426109591e-24,0.999751298351434,0.999751298351433,23.3999576039168,34.469719219125,0.6050242755339,1.13599017324541,15.02685,23.3918491339019
"8",9,25.0270014985098,25.4534931049291,25.0999615384615,25.0178769230769,25.0178769230769,25.0999615384615,25.0999615384615,25.0999615384615,25.0178769230769,15.8813461538461,15.9526384615384,15.9526384615384,15.8813461538461,15.8813461538461,15.9526384615384,15.9526384615384,16.0214076923077,15.6086615384615,-1447.35144026147,-1450.93144469639,-1770.40671189841,-1449.46053627208,-1434.13538864863,-1641.93139493209,-1711.168120038,0.999609308804218,0.999613654310896,0.99983199652061,0.9996114070526,0.999595956576715,0.999764951002331,0.999804450213154,0.999999990512006,0.999999695274269,0.973791503376159,0.135607705848822,0.999995598373708,0.998881466192903,0.999857858292943,0.99999998768816,0.999999647764863,1.22810058423654e-25,1.23515976908812e-25,5.58340156905736e-22,0.999999577629716,0.999999577629717,1.27228527367819e-24,0.99894294430288,0.99894294430288,25.0270014985098,36.5208449387961,0.734496992317483,1.13085488110042,13.7047076923077,25.0181192854301
"9",10,25.5588720095206,26.1613528918936,23.9290583333333,25.1676916666667,25.1676916666667,23.9290583333333,23.9290583333333,25.23735,25.1676916666667,21.8025769230769,21.4579384615385,21.5270230769231,21.8025769230769,21.8025769230769,21.6670769230769,21.6670769230769,21.4579384615385,20.8527615384615,-447.383972795294,-601.612369942292,-772.219519464238,-447.449594125431,-447.87259758786,-1086.2409483444,-834.317571736266,0.99042525168958,0.993535764559585,0.995874111528297,0.99042681140499,0.990436357368817,0.998136214780591,0.996473836620663,0.999999997810956,0.999999865642087,0.999610927100956,0.976110405578168,0.999996942209785,0.99938461867433,0.999817530186926,0.999999997937042,0.999999892705116,1.27854038070179e-25,1.27702267475388e-25,8.35839508690575e-23,0.999998765847756,0.999998765847755,1.96111274782748e-24,0.999333238679544,0.999333238679545,25.5588720095206,44.1579223205999,0.700415712829446,0.950208325332051,16.4381852564102,25.5427600435898
"10",11,21.9896665671043,21.299696705941,21.5710615384615,21.1070692307692,21.5710615384615,21.5710615384615,21.6678615384615,21.5710615384615,21.6678615384615,13.222023076923,12.7841384615385,13.222023076923,13.222023076923,13.222023076923,13.222023076923,13.222023076923,12.4397923076923,12.3574769230769,-2626.34879806573,-1365.95070100685,-2799.5922642556,-2637.31103709963,-2260.88401468209,-3038.64880853736,-3017.77319137918,0.99990618398921,0.999230477521188,0.999930801294667,0.999907885177475,0.999827024005747,0.999953389335083,0.999951818426627,0.999999818554512,0.999996192352404,0.998242756474716,0.963059201577722,0.999985179601066,0.99998747693008,0.999989017240172,0.999999768907757,0.999996156140997,1.00337207149363e-26,9.85937327146587e-27,5.12088028444778e-23,0.999999251989313,0.999999251989312,7.23527214318671e-24,0.999981545713936,0.999981545713939,21.9896665671043,20.7978403030948,0.29764702333513,2.03943369226622,13.8526307692308,21.9850161977299
