Obs,Date,SiteID,Aspect,Elevation,Species,PAR,Individual,BarcodeLeaf,BarcodeCutout,Notes,NoRamp,Bad
1,2023-12-06,1,W,2000,Helichrysum pallidum,700,1,HLK7631,NA,,,
2,2023-12-06,1,W,2000,Helichrysum pallidum,700,2,HLS3698,HLO0768,,,
3,2023-12-06,1,W,2000,Helichrysum pallidum,700,3,HLD4002,NA,RH 45%,,
4,2023-12-06,1,W,2000,Helichrysum ecklonis,800,1,HKY3789,HKZ5408,Flow:500 ∆CO2: -7.8,,
5,2023-12-06,1,W,2000,Helichrysum pallidum,700,4,HKV1826,HKU4365,,,
6,2023-12-06,1,W,2000,Helichrysum pallidum,700,5,HKR6730,NA,,,
7,2023-12-06,1,W,2000,Helichrysum ecklonis,800,2,HKN0162,HKJ2307,Flow:400 ∆CO2: -7.3,,
8,2023-12-06,1,W,2000,Helichrysum ecklonis,800,3,HKM0259,HKI0144,Flow:350 ∆CO2: -7.6,,
9,2023-12-07,1,W,2000,Helichrysum ecklonis,800,4,HKF1799,HKB2288,Flow:400 ∆CO2: -7.9,,
10,2023-12-07,1,W,2000,Helichrysum ecklonis,800,5,HKE9266,HKA4733,Flow:350 ∆CO2: -7.3,,
11,2023-12-07,1,W,2000,Helichrysum pallidum,700,6,HJZ9498,NA,The j was hard to read…,,
12,2023-12-07,1,E,2000,Helichrysum ecklonis,800,1,HJR9445,HJN5785,Flow:450 ∆CO2: -8.6,,
13,2023-12-07,1,E,2000,Helichrysum ecklonis,800,2,HJJ3155,HJF7356,,,
14,2023-12-07,1,E,2000,Helichrysum ecklonis,800,3,HJB1614,HIX6183,Flow:450  ??,,
15,2023-12-07,1,E,2000,Helichrysum ecklonis,800,4,HIT7668,HIP0774,,,
16,2023-12-07,1,E,2000,Helichrysum piloselum,600,1,HIL8035,NA,Flow:550 ∆CO2: -8.3,1,
17,2023-12-07,1,E,2000,Helichrysum ecklonis,800,5,HJY7393,HJU2851,Flow:350 ∆CO2: -8.7,,
18,2023-12-07,1,E,2000,Helichrysum piloselum,600,2,HJQ7587,NA,Flow:300 ∆CO2: -7.5,1,
19,2023-12-07,1,E,2000,Helichrysum piloselum,600,3,HJI4670,HJE7406,,,1
20,2023-12-07,1,E,2000,Helichrysum piloselum,600,4,HJA5576,HIW7459,,1,
21,2023-12-08,1,E,2000,Helichrysum piloselum,600,5,HIS1562,NA,Flow:300 ∆CO2: -7.6,,
22,2023-12-08,2,E,2200,Senecio glaberrimus,600,1,HGP1393,NA,Flow:550 ∆CO2: -8.15,1,
23,2023-12-08,2,E,2200,Senecio glaberrimus,600,2,HIK3164,NA,Flow:300 ∆CO2: -5.4,1,
24,2023-12-08,2,E,2200,Senecio glaberrimus,600,3,HJX8537,NA,,,1
25,2023-12-08,2,E,2200,Senecio glaberrimus,600,4,HJH2938,NA,,1,
26,2023-12-08,2,E,2200,Senecio glaberrimus,600,5,HIZ5826,NA,,,
27,2023-12-08,2,E,2200,Senecio glaberrimus,600,6,HIR2718,HIN5519,,,1
28,2023-12-08,5,W,2800,Senecio glaberrimus,600,1,HIKJ7534,NA,,,
29,2023-12-08,5,W,2800,Senecio glaberrimus,600,2,HJW8540,HJS8517,Flow:250 ∆CO2: -4.4,,1
30,2023-12-08,5,W,2800,Helichrysum pallidum,700,1,HJO3994,HJK0237,Flow:400 ∆CO2: -8.7,,1
31,2023-12-08,5,W,2800,Senecio glaberrimus,600,3,HJG2131,NA,,1,
32,2023-12-08,5,W,2800,Senecio glaberrimus,600,4,HIY2233,HIU1449,,1,
33,2023-12-08,5,W,2800,Helichrysum pallidum,700,2,HIQ5436,NA,"2 called this, discard first one",,
34,2023-12-08,5,W,2800,Helichrysum pallidum,700,3,HII4755,HIE9439,Flow:300 ∆CO2: -9,,
35,2023-12-09,5,W,2800,Senecio glaberrimus,600,5,HNG7760,NA,Flow:250 ∆CO2: -5.6,,
36,2023-12-09,5,W,2800,Senecio glaberrimus,600,6,HNO2675,NA,,,
37,2023-12-09,5,W,2800,Senecio glaberrimus,600,7,HMQ9694,NA,,,1
38,2023-12-09,5,W,2800,Helichrysum pallidum,700,4,HMI5120,NA,,,
40,2023-12-09,5,W,2800,Helichrysum pallidum,700,5,HNH0163,HND8304,Flow:400 ∆CO2: -8.7,,
41,2023-12-09,5,W,2800,Senecio glaberrimus,600,9,HMA0267,NA,,1,
42,2023-12-10,5,W,2800,Helichrysum pallidum,700,6,HNP6693,HNL0280,,,
43,2023-12-09,5,W,2800,Senecio glaberrimus,600,10,HMZ8043,NA,Flow:300 ∆CO2: -7.7,,
44,2023-12-09,5,W,2800,Senecio glaberrimus,600,11,HNM6517,NA,,1,
45,2023-12-10,5,W,2800,Senecio glaberrimus,600,12,HNR2385,NA,,,
46,2023-12-10,5,W,2800,Senecio glaberrimus,600,13,HNE6959,HNB7156,,,
47,2023-12-10,5,E,2800,Senecio glaberrimus,600,1,HNJ5943,NA,,,
48,2023-12-10,5,E,2800,Dimorphotheca jucunda,900,1,HLT0616,HLP4217,Flow:300 ∆CO2: -7.6,,
49,2023-12-10,5,E,2800,Senecio glaberrimus,600,2,HKG4513,NA,Flow:350 ∆CO2: -8.4,,
50,2023-12-10,5,E,2800,Dimorphotheca jucunda,900,2,HKO1510,NA,,,
51,2023-12-10,5,E,2800,Senecio glaberrimus,600,3,HKW9081,NA,Flow: 350,,
52,2023-12-10,5,E,2800,Dimorphotheca jucunda,900,3,HLE5155,NA,,,
53,2023-12-10,5,E,2800,Senecio glaberrimus,600,4,HLM9526,NA,Flow:300 ∆CO2: -7.6,,
54,2023-12-10,5,E,2800,Senecio glaberrimus,600,5,HLU0049,NA,,,
55,2023-12-10,5,E,2800,Dimorphotheca jucunda,900,4,HKH3161,NA,,,
56,2023-12-10,5,E,2800,Dimorphotheca jucunda,900,5,HKP6998,HKL2135,Flow:400 ∆CO2: -8.6,,
57,2023-12-11,3,E,2400,Eucomis bicolor,600,1,ITP8823,NA,,,
58,2023-12-11,3,E,2400,Eucomis bicolor,600,2,ITX4190,NA,,,
59,2023-12-11,3,E,2400,Eucomis bicolor,600,3,ITT4877,NA,,,
60,2023-12-11,3,E,2400,Helichrysum nudifolium,700,1,IUB3913,NA,,,
61,2023-12-11,3,E,2400,Eucomis bicolor,600,4,IUF6226,NA,,,
62,2023-12-11,3,E,2400,Eucomis bicolor,600,5,IUJ8981,NA,,,
63,2023-12-11,3,E,2400,Helichrysum nudifolium,700,2,HKX1517,NA,,,
64,2023-12-11,3,E,2400,Helichrysum nudifolium,700,3,IUN5634,NA,,,
65,2023-12-11,3,E,2400,Helichrysum nudifolium,700,4,IUV1230,NA,,,
66,2023-12-11,3,E,2400,Helichrysum nudifolium,700,5,IUR4469,NA,,,
67,2023-12-11,3,E,2400,Helichrysum nudifolium,700,6,ITC6656,NA,,,
68,2023-12-11,3,E,2400,Helichrysum nudifolium,700,7,ITO4043,NA,,,
69,2023-12-11,3,E,2400,Eucomis bicolor,600,6,ITG2615,NA,,,
70,2023-12-11,3,E,2400,Eucomis bicolor,600,7,ITK0324,NA,,,
72,2023-12-11,3,W,2400,Helichrysum ecklonis,700,1,HLF0616,HLB6513,Flow: 250,,
73,2023-12-11,3,W,2400,Helichrysum ecklonis,700,2,HLV2827,HLR8378,Flow:250,,
74,2023-12-11,3,W,2400,Helichrysum ecklonis,700,3,HLH7627,HLL5321,,,
75,2023-12-13,3,W,2400,Helichrysum ecklonis,700,4,IUA5525,AAA4313,,,
76,2023-12-13,3,W,2400,Helichrysum ecklonis,700,5,ITQ4599,JAM7375,,,
77,2023-12-13,3,W,2400,Helichrysum ecklonis,700,6,ITS7233,AAB1562,Flow:400 ∆CO2: -7.8,,
78,2023-12-13,3,W,2400,Senecio tall,1200,1,IPV2198,AAC4898,,,
79,2023-12-13,3,W,2400,Senecio tall,1200,2,GKO6816,AAG5074,flow: 300 check in data if thermocouple was touching,,
80,2023-12-13,3,W,2400,Senecio tall,1200,3,GKK1263,AAF5803,,,
81,2023-12-13,3,W,2400,Senecio tall,1200,4,JBF7217,AAE1525,Flow: 300,,
82,2023-12-13,3,W,2400,Senecio tall,1200,5,GKS3667,AAD0797,Flow: 500,,
83,2023-12-13,4,E,2600,Helichrysum pallidum,700,1,GKW4275,NA,Flow: 500,,
84,2023-12-13,4,E,2600,Helichrysum pallidum,700,2,GLA4999,NA,Flow: 350,,
85,2023-12-13,4,E,2600,Helichrysum pallidum,700,3,GLE2259,NA,,,
86,2023-12-13,4,E,2600,Helichrysum pallidum,700,4,GLI4052,NA,Flow: 350,,
87,2023-12-14,4,E,2600,Helichrysum pallidum,700,5,GLM3189,NA,,,
