"","curveID","ID","Date.collected","Date.measured","LICOR.name","siteID","site","taxon","species","turf_number","Elevation.masl","Note_1","notes","day","remarks_2","remark_dry_weighing","notes_rest_1","notes_rest_2","remarks_2_rest","remark_dry_weighing_rest","wet_mass_total_g","dry_mass_total_g","area_cutout_cm2","area_total_cm2","LMA_g_m2","LDMC_mg_g","leaf_thickness_avg_mm"
"1",1000,"BHI5482","23-Jul",2022-07-24,"Pennell","Vik",1,"Achillea millefolium","Achillea",1,469,"","Group training",24,NA,"scanned? box not ticked","","Group training",NA,NA,0.2799,0.0567,3.179,7.351,77.1323629438172,202.572347266881,0.251333333333333
"2",1001,"BHN4026","23-Jul",2022-07-24,"Michaletz.2","Vik",1,"Achillea millefolium","Achillea",1,469,"","Group training",24,NA,NA,"","Group training",NA,NA,0.5016,NA,3.282,12.71,NA,NA,0.285166666666667
"3",1002,"BLV7008","25-Jul",2022-07-25,"","Vik",1,"Alchemilla alpina","Alchemilla",6,469,"","",25,NA,NA,"","",NA,NA,0.0807,0.01955,2.143,3.655,53.4883720930232,242.255266418835,0.191333333333333
"4",1004,"BEK4966","25-Jul",2022-07-25,"","Vik",1,"Vaccinium vitis-idaea","Vaccinium",1,469,"","",25,NA,NA,"","",NA,NA,0.0291,0.01284,0.856,0.985,130.355329949239,441.237113402062,0.317333333333333
"5",1005,"AGM4982","25-Jul",2022-07-25,"","Vik",1,"Vaccinium vitis-idaea","Vaccinium",4,469,"","Not in the folder but on the licor",25,NA,NA,"","Not in the folder but on the licor",NA,NA,0.0459,0.01668,1.586,1.656,100.724637681159,363.398692810457,0.285666666666667
"6",1006,"BFK2921","25-Jul",2022-07-25,"","Vik",1,"Achillea millefolium","Achillea",1,469,"","",25,NA,NA,"","",NA,NA,0.1341,0.02657,1.571,5.093,52.1696446102494,198.13571961223,0.326666666666667
"7",1007,"BLD2939","25-Jul",2022-07-25,"","Vik",1,"Alchemilla alpina","Alchemilla",6,469,"","",25,NA,NA,"","",NA,NA,0.1789,NA,2.417,8.049,NA,NA,0.2075
"8",1008,"BLJ2761","25-Jul",2022-07-25,"","Vik",1,"Vaccinium vitis-idaea","Vaccinium",4,469,"","",25,NA,NA,NA,NA,NA,NA,NA,NA,1.331,NA,NA,NA,0.306666666666667
"9",1009,"BKO0418","25-Jul",2022-07-25,"","Vik",1,"Alchemilla alpina","Alchemilla",6,469,"","",25,NA,NA,"","",NA,NA,0.1155,0.03455,2.323,5.44,63.5110294117647,299.134199134199,0.201333333333333
"10",1010,"BKC1131","25-Jul",2022-07-25,"","Vik",1,"Achillea millefolium","Achillea",2,469,"","991 logged before match! but 992 is final match",25,NA,NA,"","991 logged before match! but 992 is final match",NA,NA,0.31,0.04523,1.749,9.964,45.3934162986752,145.903225806452,0.188333333333333
"11",1011,"BKQ4537","25-Jul",2022-07-25,"","Vik",1,"Vaccinium vitis-idaea","Vaccinium",4,469,"","",25,NA,NA,"","","only one thickness measurement taken",NA,0.0422,NA,1.391,1.596,NA,NA,0.24275
