"","id","day_not_date","site_id","elevation_m_asl","aspect","species","project","plot_id","plant_id","veg_height_cm","rep_height_cm","wet_mass_g","dry_mass_g","leaf_area_cm2","leaf_thickness_mm","wet_sla_cm2_g","sla_cm2_g","ldmc","bulk_nr","wet_mass_total_g","leaf_thickness_1_mm","leaf_thickness_2_mm","leaf_thickness_3_mm","remark","new_species","n","leaf_area_total_cm2","wet_bulk_nr","wet_nr_pieces","dry_bulk_nr","dry_nr_pieces","dry_mass_total_g","check_scan","remarks","orchids","nr"
"1","EJT8246",5,1,2000,"east","acalypha_schinzii","T",4,1,13,NA,0.0374,NA,1.211,0.376666666666667,32.379679144385,NA,NA,1,0.0374,0.316,0.376,0.438,NA,NA,1,1.211,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","EBN4662",5,1,2000,"west","acalypha_schinzii","T",1,1,14.5,NA,0.0478,0.0147,1.673,0.271666666666667,35,113.809523809524,0.307531380753138,1,0.0478,0.27,0.274,0.271,NA,NA,1,1.673,1,1,1,1,0.0147,"no",NA,NA,82
"3","EJK3690",5,1,2000,"east","acalypha_schinzii","T",4,3,17.5,NA,0.0256333333333333,NA,0.832333333333333,0.38,32.4707412223667,NA,NA,3,0.0769,0.402,0.394,0.344,NA,NA,3,2.497,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ENO0474",5,1,2000,"west","anthospermum_herbaceum","T",3,3,5.4,NA,0.00283333333333333,0.000544444444444444,0.102555555555556,0.195433333333333,36.1960784313726,188.367346938776,0.192156862745098,9,0.0255,0.0253,0.253,0.308,"herbaceum not in original community data.",NA,9,0.923,9,9,9,9,0.0049,"no",NA,NA,80
"5","EHO8850",6,2,2200,"west","anthospermum_herbaceum","T",1,2,4,NA,0.00782,0.0016,0.3524,0.353666666666667,45.0639386189258,220.25,0.20460358056266,5,0.0391,0.366,0.346,0.349,NA,NA,7,1.762,5,5,5,5,0.008,"no",NA,NA,320
"6","DQL4323",6,2,2200,"west","anthospermum_herbaceum","T",2,1,5,6.7,0.01724,NA,0.6166,0.283666666666667,35.7656612529002,NA,NA,5,0.0862,0.265,0.267,0.319,NA,NA,5,3.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","EFV4279",6,2,2200,"east","anthospermum_herbaceum","T",2,2,2.4,NA,0.01242,0.00228,0.4638,0.346333333333333,37.3429951690821,203.421052631579,0.183574879227053,5,0.0621,0.39,0.294,0.355,NA,NA,5,2.319,5,5,5,5,0.0114,"no",NA,NA,1182
"8","CXU9780",6,2,2200,"west","anthospermum_herbaceum","T",2,3,1.9,NA,0.00448,7e-04,0.2192,0.330333333333333,48.9285714285714,313.142857142857,0.15625,5,0.0224,0.362,0.363,0.266,NA,NA,6,1.096,5,5,5,5,0.0035,"no",NA,NA,1186
"9","ERT1731",6,2,2200,"east","anthospermum_herbaceum","T",1,2,2,NA,0.01576,0.00326,0.6632,0.352,42.0812182741117,203.435582822086,0.206852791878173,5,0.0788,0.352,0.368,0.336,NA,NA,5,3.316,5,5,5,5,0.0163,"no",NA,NA,1192
"10","EZO1598",3,1,2000,"west","anthospermum_hispidulum","T",2,1,4.3,NA,0.000866666666666667,NA,0.0455,0.0953333333333333,52.5,NA,NA,6,0.0052,0.121,0.083,0.082,NA,NA,6,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","DLC0282",5,1,2000,"west","anthospermum_hispidulum","T",4,1,5.4,4.9,0.00286666666666667,NA,0.0883333333333333,0.275333333333333,30.8139534883721,NA,NA,6,0.0172,0.204,0.335,0.287,NA,NA,6,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ETD1452",5,1,2000,"west","anthospermum_hispidulum","T",5,3,6,4,0.00125,NA,0.05875,0.195666666666667,47,NA,NA,8,0.01,0.206,0.22,0.161,NA,NA,8,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
