id,day_not_date,site_id,elevation_m_asl,aspect,species,project,plot_id,plant_id,veg_height_cm,rep_height_cm,wet_mass_g,dry_mass_g,leaf_area_cm2,leaf_thickness_mm,wet_sla_cm2_g,sla_cm2_g,ldmc,bulk_nr,wet_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,remark,new_species,n,leaf_area_total_cm2,wet_bulk_nr,wet_nr_pieces,dry_bulk_nr,dry_nr_pieces,dry_mass_total_g,check_scan,remarks,orchids,nr
EJT8246,5,1,2000,east,acalypha_schinzii,T,4,1,13,NA,0.0374,NA,1.211,0.37666666666666665,32.37967914438503,NA,NA,1,0.0374,0.316,0.376,0.438,NA,NA,1,1.211,NA,NA,NA,NA,NA,NA,NA,NA,NA
EBN4662,5,1,2000,west,acalypha_schinzii,T,1,1,14.5,NA,0.0478,0.0147,1.673,0.27166666666666667,35,113.80952380952381,0.3075313807531381,1,0.0478,0.27,0.274,0.271,NA,NA,1,1.673,1,1,1,1,0.0147,no,NA,NA,82
EJK3690,5,1,2000,east,acalypha_schinzii,T,4,3,17.5,NA,0.02563333333333333,NA,0.8323333333333333,0.38,32.47074122236671,NA,NA,3,0.0769,0.402,0.394,0.344,NA,NA,3,2.497,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENO0474,5,1,2000,west,anthospermum_herbaceum,T,3,3,5.4,NA,0.002833333333333333,5.444444444444444e-4,0.10255555555555557,0.19543333333333332,36.196078431372555,188.36734693877554,0.19215686274509805,9,0.0255,0.0253,0.253,0.308,herbaceum not in original community data.,NA,9,0.923,9,9,9,9,0.0049,no,NA,NA,80
EHO8850,6,2,2200,west,anthospermum_herbaceum,T,1,2,4,NA,0.00782,0.0016,0.3524,0.35366666666666663,45.063938618925825,220.24999999999997,0.20460358056265984,5,0.0391,0.366,0.346,0.349,NA,NA,7,1.762,5,5,5,5,0.008,no,NA,NA,320
DQL4323,6,2,2200,west,anthospermum_herbaceum,T,2,1,5,6.7,0.01724,NA,0.6166,0.2836666666666667,35.76566125290024,NA,NA,5,0.0862,0.265,0.267,0.319,NA,NA,5,3.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFV4279,6,2,2200,east,anthospermum_herbaceum,T,2,2,2.4,NA,0.01242,0.00228,0.4638,0.3463333333333333,37.34299516908212,203.42105263157896,0.18357487922705312,5,0.0621,0.39,0.294,0.355,NA,NA,5,2.319,5,5,5,5,0.0114,no,NA,NA,1182
CXU9780,6,2,2200,west,anthospermum_herbaceum,T,2,3,1.9,NA,0.00448,7e-4,0.2192,0.3303333333333333,48.92857142857144,313.14285714285717,0.15625,5,0.0224,0.362,0.363,0.266,NA,NA,6,1.096,5,5,5,5,0.0035,no,NA,NA,1186
ERT1731,6,2,2200,east,anthospermum_herbaceum,T,1,2,2,NA,0.01576,0.00326,0.6632,0.352,42.08121827411168,203.4355828220859,0.2068527918781726,5,0.0788,0.352,0.368,0.336,NA,NA,5,3.316,5,5,5,5,0.0163,no,NA,NA,1192
EZO1598,3,1,2000,west,anthospermum_hispidulum,T,2,1,4.3,NA,8.666666666666666e-4,NA,0.045500000000000006,0.09533333333333334,52.50000000000001,NA,NA,6,0.0052,0.121,0.083,0.082,NA,NA,6,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLC0282,5,1,2000,west,anthospermum_hispidulum,T,4,1,5.4,4.9,0.0028666666666666667,NA,0.08833333333333333,0.2753333333333333,30.813953488372093,NA,NA,6,0.0172,0.204,0.335,0.287,NA,NA,6,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
ETD1452,5,1,2000,west,anthospermum_hispidulum,T,5,3,6,4,0.00125,NA,0.05875,0.19566666666666666,46.99999999999999,NA,NA,8,0.01,0.206,0.22,0.161,NA,NA,8,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLP2504,5,1,2000,west,anthospermum_hispidulum,T,1,1,5.5,NA,0.00229,5.499999999999999e-4,0.0892,0.23,38.951965065502186,162.18181818181822,0.24017467248908295,10,0.0229,0.31,0.2,0.18,NA,NA,10,0.892,10,10,10,10,0.0055,no,NA,NA,72
EVJ6623,5,1,2000,west,anthospermum_hispidulum,T,3,2,4.6,NA,0.0031600000000000005,NA,0.12589999999999998,0.31333333333333335,39.841772151898724,NA,NA,10,0.0316,0.321,0.318,0.301,NA,NA,10,1.259,NA,NA,NA,NA,NA,NA,NA,NA,NA
EYG0272,3,1,2000,west,anthospermum_streyi,T,2,1,5.5,NA,7.1e-4,NA,0.0431,0.18633333333333335,60.70422535211267,NA,NA,10,0.0071,0.164,0.194,0.201,NA,anthospermum_streyi,10,0.431,NA,NA,NA,NA,NA,NA,NA,NA,NA
EVD3891,5,1,2000,west,aristea_woodii,T,4,1,5,NA,0.025866666666666666,NA,0.9146666666666667,0.33566666666666667,35.36082474226804,NA,NA,3,0.0776,0.376,0.345,0.286,NA,aristea_woodii,3,2.744,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMK4384,5,1,2000,east,aristea_woodii,T,3,2,8.5,NA,0.05215,NA,1.6535,0.3733333333333333,31.706615532118885,NA,NA,2,0.1043,0.3,0.471,0.349,NA,aristea_woodii,2,3.307,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUP3934,5,1,2000,west,aristea_woodii,T,3,1,7.3,NA,0.047,NA,1.568,0.3466666666666667,33.361702127659576,NA,NA,1,0.047,0.321,0.336,0.383,NA,NA,1,1.568,NA,NA,NA,NA,NA,NA,NA,NA,NA
ETG6420,5,1,2000,east,aristea_woodii,T,5,1,7,8.5,0.04035,0.01245,1.2355,0.42733333333333334,30.61957868649319,99.23694779116467,0.30855018587360594,2,0.0807,0.356,0.523,0.403,NA,NA,2,2.471,2,2,2,2,0.0249,no,NA,NA,117
DHI2464,6,2,2200,east,aristea_woodii,T,3,1,7,19,0.2215,0.0493,4.188,0.554,18.907449209932278,84.94929006085192,0.22257336343115122,1,0.2215,0.444,0.486,0.732,NA,NA,1,4.188,1,1,1,1,0.0493,no,NA,NA,203
ETZ9040,3,1,2000,west,bulbostylis_oritrephes,T,2,2,10.4,8.1,0.025575,NA,0.46875,0.46266666666666667,18.328445747800586,NA,NA,4,0.1023,0.504,0.428,0.456,NA,bulbostylis_oritrephes,4,1.875,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXY5824,3,1,2000,west,bulbostylis_oritrephes,T,2,3,12.6,8.4,0.021666666666666667,0.007899999999999999,0.726,0.4483333333333333,33.5076923076923,91.8987341772152,0.36461538461538456,3,0.065,0.501,0.434,0.41,NA,bulbostylis_oritrephes,3,2.178,3,3,3,3,0.0237,no,NA,NA,56
EYA1798,3,1,2000,west,bulbostylis_oritrephes,T,2,1,9.9,10.2,0.018166666666666668,NA,0.42733333333333334,0.34933333333333333,23.522935779816514,NA,NA,3,0.0545,0.36,0.327,0.361,NA,bulbostylis_oritrephes,3,1.282,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAF7860,5,1,2000,west,bulbostylis_oritrephes,T,5,3,8.8,9,0.01656,0.00574,0.6136,0.364,37.053140096618364,106.89895470383276,0.34661835748792275,5,0.0828,0.34,0.388,0.364,NA,bulbostylis_oritrephes,5,3.068,5,5,5,5,0.0287,no,NA,NA,139
EVE1053,5,1,2000,west,bulbostylis_oritrephes,T,4,2,6,NA,0.0097,NA,0.333,0.331,34.329896907216494,NA,NA,4,0.0388,0.304,0.342,0.347,NA,bulbostylis_oritrephes,4,1.332,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAY7756,5,1,2000,east,bulbostylis_oritrephes,T,2,3,17,3,0.030622222222222224,0.012555555555555556,0.9063333333333333,0.42,29.597242380261246,72.1858407079646,0.41001451378809867,9,0.2756,0.42,0.416,0.424,NA,bulbostylis_oritrephes,9,8.157,9,9,9,9,0.113,no,NA,NA,161
EZN2533,5,1,2000,west,bulbostylis_oritrephes,T,3,2,13.5,14.1,0.0019,NA,0.14,0.2506666666666667,73.6842105263158,NA,NA,1,0.0019,0.266,0.227,0.259,NA,bulbostylis_oritrephes,1,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAF7292,5,1,2000,west,bulbostylis_oritrephes,T,3,1,10.9,11.5,0.0025,NA,0.091,0.28400000000000003,36.4,NA,NA,1,0.0025,0.217,0.229,0.406,NA,bulbostylis_oritrephes,1,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAT7789,5,1,2000,west,bulbostylis_oritrephes,T,1,1,14,13.5,0.017914285714285716,NA,0.46914285714285714,0.36666666666666664,26.188197767145134,NA,NA,7,0.1254,0.44,0.3,0.36,NA,bulbostylis_oritrephes,8,3.284,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLR6525,5,1,2000,west,bulbostylis_oritrephes,T,4,3,13,13.5,0.019442857142857144,NA,0.6605714285714285,0.41133333333333333,33.97501836884643,NA,NA,7,0.1361,0.435,0.402,0.397,NA,bulbostylis_oritrephes,7,4.624,NA,NA,NA,NA,NA,NA,NA,NA,NA
EVG0603,5,1,2000,west,bulbostylis_oritrephes,T,4,1,10.6,11,0.015540000000000002,NA,0.3516,0.436,22.625482625482626,NA,NA,5,0.0777,0.404,0.496,0.408,NA,bulbostylis_oritrephes,5,1.758,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELW2931,5,1,2000,west,bulbostylis_oritrephes,T,5,2,11.8,12,0.024342857142857142,NA,0.4278571428571429,0.45666666666666667,17.576291079812208,NA,NA,7,0.1704,0.491,0.45,0.429,NA,bulbostylis_oritrephes,7,2.995,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAU5214,5,1,2000,east,bulbostylis_oritrephes,T,3,1,16.5,17,0.01485,NA,0.46375,0.362,31.22895622895623,NA,NA,4,0.0594,0.371,0.381,0.334,NA,bulbostylis_oritrephes,4,1.855,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJO5262,5,1,2000,east,bulbostylis_oritrephes,T,4,3,12,12,0.02685,NA,0.5303333333333333,0.4523333333333333,19.751707014276846,NA,NA,6,0.1611,0.439,0.421,0.497,NA,bulbostylis_oritrephes,6,3.182,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAT0419,5,1,2000,east,bulbostylis_oritrephes,T,3,2,9.5,NA,0.02247142857142857,NA,0.49742857142857144,0.46199999999999997,22.13604577240941,NA,NA,7,0.1573,0.471,0.491,0.424,NA,bulbostylis_oritrephes,7,3.482,NA,NA,NA,NA,NA,NA,NA,NA,NA
EOV2668,5,1,2000,east,bulbostylis_oritrephes,T,4,1,15.1,16.1,0.0334,NA,0.7843333333333334,0.5033333333333333,23.483033932135733,NA,NA,3,0.1002,0.501,0.49,0.519,NA,bulbostylis_oritrephes,3,2.353,NA,NA,NA,NA,NA,NA,NA,NA,NA
DZK0318,6,2,2200,west,c_f_hesperantha_baurii,T,1,2,14,NA,0.3492,0.0793,6.408,0.5836666666666667,18.350515463917525,80.80706179066836,0.22709049255441005,1,0.3492,0.604,0.602,0.545,NA,c_f_hesperantha_baurii,1,6.408,1,1,1,1,0.0793,no,NA,NA,1193
EDZ2888,6,2,2200,east,c_f_hesperantha_baurii,T,3,1,13,NA,0.448,0.0913,6.262,0.44166666666666665,13.97767857142857,68.58707557502737,0.20379464285714285,1,0.448,0.392,0.458,0.475,NA,c_f_hesperantha_baurii,2,6.262,1,1,1,1,0.0913,no,NA,NA,1102
EDE8353,6,2,2200,west,c_f_hesperantha_baurii,T,5,1,9,NA,0.1697,0.0396,3.716,0.5013333333333334,21.89746611667649,93.83838383838383,0.23335297583971717,1,0.1697,0.526,0.514,0.464,NA,c_f_hesperantha_baurii,1,3.716,1,1,1,1,0.0396,no,NA,NA,239
FAB3024,5,1,2000,west,carex_zuluensis,T,3,2,9.9,NA,0.0426,0.0166,2.168,0.24133333333333334,50.89201877934273,130.60240963855424,0.38967136150234744,1,0.0426,0.25,0.222,0.252,NA,NA,1,2.168,1,1,1,1,0.0166,no,NA,NA,73
DLQ5889,5,1,2000,west,carex_zuluensis,T,3,1,12,10.4,0.0536,NA,2.334,0.237,43.54477611940298,NA,NA,1,0.0536,0.222,0.252,0.237,NA,NA,1,2.334,NA,NA,NA,NA,NA,NA,NA,NA,NA
DQX4318,6,2,2200,east,carex_zuluensis,T,1,2,4,18.4,0.019433333333333334,NA,1.1743333333333335,0.267,60.42881646655232,NA,NA,3,0.0583,0.293,0.282,0.226,NA,NA,6,3.523,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSN9812,6,2,2200,east,commelina_africana,T,4,2,2.4,NA,0.0524,0.0077,1.304,0.4086666666666667,24.885496183206108,169.35064935064935,0.14694656488549618,1,0.0524,0.461,0.36,0.405,NA,NA,1,1.304,1,1,1,1,0.0077,no,NA,NA,1083
HRM5061,6,2,2200,east,commelina_africana,T,3,1,3,NA,0.1127,0.0174,2.515,0.5913333333333334,22.315882874889088,144.5402298850575,0.1543921916592724,1,0.1127,0.605,0.653,0.516,NA,NA,2,2.515,1,1,1,1,0.0174,no,NA,NA,1195
EAX7228,5,1,2000,west,crassula_vaginata,T,1,1,5.5,NA,0.0992,NA,2.058,0.7233333333333334,20.745967741935484,NA,NA,1,0.0992,0.761,0.771,0.638,NA,NA,1,2.058,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUI8572,5,1,2000,west,crassula_vaginata,T,4,1,6,NA,0.0217,NA,0.40900000000000003,0.4493333333333333,18.847926267281107,NA,NA,3,0.0651,0.574,0.441,0.333,NA,NA,3,1.227,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXQ0995,3,1,2000,west,craterocapsa_tarsodes,T,2,2,1.4,NA,0.0053,NA,0.1921,0.29866666666666664,36.24528301886792,NA,NA,10,0.053,0.289,0.298,0.309,NA,NA,10,1.921,NA,NA,NA,NA,NA,NA,NA,NA,NA
