"","curveid","topt_tleaf","topt_tleaf_cond","topt_tleaf_vpdl","topt_tleaf_vpdl_cond","topt_weib","breadth_tleaf","breadth_tleaf_cond","breadth_tleaf_vpdl","breadth_tleaf_vpdl_cond","breadth_weib","AIC_tleaf","AIC_tleaf_cond","AIC_tleaf_vpdl","AIC_tleaf_vpdl_cond","concurvity_tleaf","concurvity_tleaf_cond","concurvity_tleaf_vpdl","concurvity_tleaf_vpdl_cond"
"1",1091,15.5385496296296,17.0329013468013,34.7160633333333,34.7160633333333,14.9703302109518,6.0170662561576,6.397020945083,6.0952803320562,6.3096037037037,7.791,-390.87116732411,-1016.84031084118,-952.294099111306,-1035.93289113049,2.67894435363816e-28,3.18734360999662e-27,3.27007515872736e-25,1.98291347158043e-24
"2",1095,19.5843621212121,19.5843621212121,27.2498704545455,27.0175823232323,20.1958803499636,10.6631541666666,10.6631541666666,10.5171166666667,10.5171166666667,10.217,-3583.14878364476,-3631.33618974793,-3796.43736491214,-3801.48321869252,1.63367022474551e-23,3.42856572145642e-23,8.73977682732097e-22,1.54467165991906e-21
"3",1098,20.4963966329966,20.4963966329966,18.0048707070707,18.9108801346801,20.3932857158372,6.4526,6.5055666666667,7.1899,7.0002333333333,7.228,-485.707667542288,-684.664160360813,-767.033765124219,-771.898298618093,3.74736237304284e-23,2.83962426591639e-22,1.94800031597066e-21,5.96253899710462e-21
"4",1100,18.2575074074074,18.4973333333333,18.9769851851852,18.4973333333333,18.4753954199214,6.6553333333333,6.9634666666667,6.6553333333333,6.9808,8.517,-1512.61470961265,-1565.37503899716,-1530.14984931444,-1567.64380841649,3.03923702465483e-23,4.21367456598581e-22,8.00876009582447e-22,7.11076849756985e-21
"5",1105,17.4519363636364,16.9313202020202,16.9313202020202,16.9313202020202,16.808539975717,6.7731333333334,7.5690333333333,7.7562666666667,7.7562666666667,7.507,671.87514336787,379.540182515703,279.11187792477,279.113000420062,2.2289489349635e-28,8.24755359109227e-24,2.50385684966052e-21,3.37689144227646e-21
"6",1114,23.3443204713805,23.3443204713805,24.1378170370371,25.7248101683502,23.402901443227,9.4154,9.2091666666667,9.2645333333333,9.1459333333334,9.722,-581.139752360891,-591.31124393623,-582.124528449103,-598.084343733807,1.23126750734402e-23,2.33327316026752e-23,5.75117448588283e-22,6.91170583446079e-22
"7",1138,17.7511465909091,17.7511465909091,11.4521875,11.4521875,17.6757993355908,10.4589333333333,10.3490333333333,10.2766083333333,10.3780833333333,10.563,-2255.73882301844,-2617.65917605406,-3108.48967975494,-3216.330943809,2.09700852206162e-28,5.38244557436983e-23,1.66054764855552e-21,3.08656950395686e-21
"8",1139,15.65508767018,15.3864247035573,18.6103803030303,18.6103803030303,16.7046719778352,10.8491601666667,11.0473643333333,10.9658185,11.0741351666667,10.45,-3341.75536280332,-3504.16659859008,-3500.20230291397,-3612.79542742107,3.95716835675103e-24,1.61362230289948e-23,3.42161109760328e-23,1.41250766227402e-22
"9",1143,18.563427946128,18.563427946128,23.0150319191919,17.2541326599327,19.3581101110771,6.7618666666667,6.4313666666667,7.483,6.2346,6.286,1197.74839125252,768.317715175149,86.9083031729506,43.6111984071911,6.8626098383608e-29,1.09171948788428e-27,1.13741141632958e-21,1.58387169910325e-21
"10",1145,22.7175565656566,22.9577942760943,24.6394582491583,24.879695959596,23.3655974246857,6.1182333333333,6.0776,5.9896666666667,5.9896666666667,7.54799999999999,-948.579400678847,-961.480601066483,-992.098678212904,-991.659417171985,1.31709221352065e-23,3.83484834914162e-23,4.24069837399987e-22,5.3656284048263e-22
"11",1157,16.3757524579125,17.8506793265993,18.0965004713805,18.0965004713805,16.9926538596991,9.9287666666667,10.5564666666667,10.6499,10.6499,9.227,-1140.24998661539,-1219.39704279051,-1231.88858802814,-1231.88474837006,3.61692926864086e-25,1.00057962806392e-23,3.9915779511111e-23,1.93291829063032e-22
"12",1158,18.4860611363636,18.8995025,14.9718095454545,19.1062231818182,18.4028025966328,8.25345,8.6878333333334,8.4722291666667,8.6611083333334,8.166,-2747.27210264458,-3508.9081043323,-3323.4784223816,-3510.5067486506,2.31557077720777e-28,1.306826015515e-26,5.27926977437686e-22,2.61390812551578e-21
"13",1159,16.091896969697,19.0108587878788,20.2618424242424,19.0108587878788,16.9980666467329,11.2851666666667,11.3439,11.6901666666667,11.3439,10.471,-1196.20431182384,-1224.31418494614,-1209.74098554607,-1224.3130943192,7.05858322259483e-28,4.06596369450679e-22,2.87792044001805e-23,6.36925748128365e-22
"14",1160,16.516388989899,15.8561265656566,16.7364764646465,15.6360390909091,16.7886794713062,12.0197,12.0634,13.0127666666667,12.8683666666667,12.076,-1041.49148301782,-1052.25342778654,-1125.12819309905,-1131.05801916738,3.01463274936387e-28,1.54300553011814e-27,1.00729484494971e-24,1.0885802631156e-24
